ID,PPbroad_sort,PPbroad,PPspecific,LCcategory_sort,LCcategory,LCnumber
1,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Classical Greek Philosophy,01 B 165-491 Greece,B 165-491 Greece,B 168-491
2,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Hellenistic and Later Ancient Philosophy,02 B 505-626 Greco-Roman Philosophy,B 505-626 Greco-Roman Philosophy,B 504-708
3,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Pre-Socratic Philosophy,01 B 165-491 Greece,B 165-491 Greece,B 204-341
4,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Plato,01 B 165-491 Greece,B 165-491 Greece,B 350-398
5,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Aristotle,01 B 165-491 Greece,B 165-491 Greece,B 400-491 & Q something
6,1 Ancient Greek and Roman Philosophy,Ancient Greek and Roman Philosophy,Topics in Ancient Greek and Roman Philosophy,01 B 165-491 Greece,B 165-491 Greece,B 168-200
7,2 Medieval and Renaissance Philosophy,Medieval and Renaissance Philosophy,Medieval Islamic Philosophy,03 B 720-765 Medieval Philosophy,B 720-765 Medieval Philosophy,B 748-753
8,2 Medieval and Renaissance Philosophy,Medieval and Renaissance Philosophy,Medieval Jewish Philosophy,03 B 720-765 Medieval Philosophy,B 720-765 Medieval Philosophy,B 755-759
9,2 Medieval and Renaissance Philosophy,Medieval and Renaissance Philosophy,Medieval European Philosophy,03 B 720-765 Medieval Philosophy,B 720-765 Medieval Philosophy,B 765
10,2 Medieval and Renaissance Philosophy,Medieval and Renaissance Philosophy,15th-16th c. Renaissance Philosophy,04 B 770-785 Renaissance Philosophy,B 770-785 Renaissance Philosophy,B 770-785
11,2 Medieval and Renaissance Philosophy,Medieval and Renaissance Philosophy,Topics in Medieval Philosophy,03 B 720-765 Medieval Philosophy,B 720-765 Medieval Philosophy,B 720-745
12,3 17th-18th Century Philosophy,17th-18th Century Philosophy,17th-18th c. British Philosophy,05 B 790-4695 Modern Philosophy,B 790-4695 Modern Philosophy,B 1131-1402
13,3 17th-18th Century Philosophy,17th-18th Century Philosophy,17th-18th c. French Philosophy,09 B 1801-2430 France,B 1801-2430 France,B 1815-2179
14,3 17th-18th Century Philosophy,17th-18th Century Philosophy,17th-18th c. German Philosophy,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 2535-3177
15,3 17th-18th Century Philosophy,17th-18th Century Philosophy,17th-18th c. Philosophy (General),06 B 791-804 General Works,B 791-804 General Works,B 801-802
16,4 19th Century Philosophy,19th Century Philosophy,Hegel,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 2900-2949
17,4 19th Century Philosophy,19th Century Philosophy,Kant,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 2750-2799
18,4 19th Century Philosophy,19th Century Philosophy,Spinoza,12 B 3801-4175 The Netherlands & Belgium,B 3801-4175 The Netherlands & Belgium,B 3950-4000
19,4 19th Century Philosophy,19th Century Philosophy,Kierkegaard,13 B 4301-4495 Scandinavia,B 4301-4495 Scandinavia,B 4369-4378
20,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,G. E. M. Anscombe,08 B 1111-? England,B 1111-? England,B 1618.A57 - .A574
21,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,J. L. Austin,08 B 1111-? England,B 1111-? England,B 1618.A8 - .A84
22,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Rudolf Carnap,07 B 851-945 United States,B 851-945 United States,B 945.C16 - .C164
23,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Ernst Cassirer,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 3216.C3 - .C34
24,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Roderick Chisholm,07 B 851-945 United States,B 851-945 United States,B 945.C46 - .C464
25,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Donald Davidson,07 B 851-945 United States,B 851-945 United States,B 945.D38 - .D384
26,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Paul Feyerabend,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 3240.F48 - .F484
27,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Gottlob Frege,10 B 2521-3396 Germany & Austria,B 2521-3396 Germany & Austria,B 3245.F2 - .F24
28,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Nelson Goodman,07 B 851-945 United States,B 851-945 United States,B 945.G62 - .G624
29,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,David Lewis,07 B 851-945 United States,B 851-945 United States,B 945.L455 - .L4554
30,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,G. E. Moore,08 B 1111-? England,B 1111-? England,B 1647.M7 - .M74
31,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Derek Parfit,08 B 1111-? England,B 1111-? England,B 1649.P37 - .P374
32,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,Karl Popper,08 B 1111-? England,B 1111-? England,B 1649.P6 - .P64
33,5 20th Century Analytic Philosophy,20th Century Analytic Philosophy,W. V. O Quine,07 B 851-945 United States,B 851-945 United States,B 945.Q5 - .Q54
