from,to
History of Western Philosophy,Ancient Greek and Roman Philosophy
History of Western Philosophy,Medieval and Renaissance Philosophy
History of Western Philosophy,17th-18th Century Philosophy
History of Western Philosophy,19th Century Philosophy
History of Western Philosophy,20th Century Analytic Philosophy
History of Western Philosophy,20th Century Continental Philosophy
Ancient Greek and Roman Philosophy,B 165-491 Greece
Ancient Greek and Roman Philosophy,B 165-491 Greece
Ancient Greek and Roman Philosophy,B 165-491 Greece
Ancient Greek and Roman Philosophy,B 165-491 Greece
Ancient Greek and Roman Philosophy,B 165-491 Greece
Ancient Greek and Roman Philosophy,B 505-626 Greco-Roman Philosophy
Medieval and Renaissance Philosophy,B 720-765 Medieval Philosophy
Medieval and Renaissance Philosophy,B 720-765 Medieval Philosophy
Medieval and Renaissance Philosophy,B 720-765 Medieval Philosophy
Medieval and Renaissance Philosophy,B 720-765 Medieval Philosophy
Medieval and Renaissance Philosophy,B 770-785 Renaissance Philosophy
17th-18th Century Philosophy,B 790-4695 Modern Philosophy
17th-18th Century Philosophy,B 791-804 General Works
17th-18th Century Philosophy,B 1801-2430 France
17th-18th Century Philosophy,B 2521-3396 Germany & Austria
19th Century Philosophy,B 2521-3396 Germany & Austria
19th Century Philosophy,B 2521-3396 Germany & Austria
19th Century Philosophy,B 3801-4175 The Netherlands & Belgium
19th Century Philosophy,B 4301-4495 Scandinavia
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 851-945 United States
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 1111-1___ England
20th Century Analytic Philosophy,B 2521-3396 Germany & Austria
20th Century Analytic Philosophy,B 2521-3396 Germany & Austria
20th Century Analytic Philosophy,B 2521-3396 Germany & Austria
20th Century Analytic Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 790-4695 Modern Philosophy
20th Century Continental Philosophy,B 851-945 United States
20th Century Continental Philosophy,B 851-945 United States
20th Century Continental Philosophy,B 851-945 United States
20th Century Continental Philosophy,B 851-945 United States
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 1801-2430 France
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 2521-3396 Germany & Austria
20th Century Continental Philosophy,B 3551-3656 Italy
20th Century Continental Philosophy,B 4681-4695 Other European Countries
20th Century Continental Philosophy,BF Psychology
20th Century Continental Philosophy,GN Anthropology
B 165-491 Greece,Aristotle
B 165-491 Greece,Classical Greek Philosophy
B 165-491 Greece,Plato
B 165-491 Greece,Pre-Socratic Philosophy
B 165-491 Greece,Topics in Ancient Greek and Roman Philosophy
B 505-626 Greco-Roman Philosophy,Hellenistic and Later Ancient Philosophy
B 720-765 Medieval Philosophy,Medieval European Philosophy
B 720-765 Medieval Philosophy,Medieval Islamic Philosophy
B 720-765 Medieval Philosophy,Medieval Jewish Philosophy
B 720-765 Medieval Philosophy,Topics in Medieval Philosophy
B 770-785 Renaissance Philosophy,15th/16th c. Renaissance Philosophy
B 790-4695 Modern Philosophy,17th/18th c. British Philosophy
B 791-804 General Works,17th/18th c. Philosophy (General)
B 1801-2430 France,17th/18th c. French Philosophy
B 2521-3396 Germany & Austria,17th/18th c. German Philosophy
B 2521-3396 Germany & Austria,Hegel
B 2521-3396 Germany & Austria,Kant
B 3801-4175 The Netherlands & Belgium,Spinoza
B 4301-4495 Scandinavia,Kierkegaard
B 851-945 United States,David Lewis
B 851-945 United States,Donald Davidson
B 851-945 United States,Nelson Goodman
B 851-945 United States,Roderick Chisholm
B 851-945 United States,Rudolf Carnap
B 851-945 United States,W. V. O Quine
B 851-945 United States,Wilfrid Sellars
B 1111-1___ England,Bertrand Russell
B 1111-1___ England,Derek Parfit
B 1111-1___ England,G. E. M. Anscombe
B 1111-1___ England,G. E. Moore
B 1111-1___ England,Gilbert Ryle
B 1111-1___ England,J. L. Austin
B 1111-1___ England,John Rawls
B 1111-1___ England,Karl Popper
B 1111-1___ England,P. F. Strawson
B 2521-3396 Germany & Austria,Ernst Cassirer
B 2521-3396 Germany & Austria,Gottlob Frege
B 2521-3396 Germany & Austria,Ludwig Wittgenstein
B 2521-3396 Germany & Austria,Paul Feyerabend
B 790-4695 Modern Philosophy,Jan Patocka
B 851-945 United States,Alfred Schuetz
B 851-945 United States,Hannah Arendt
B 851-945 United States,Judith Butler
B 851-945 United States,Leo Strauss
B 1801-2430 France,Alain Badiou
B 1801-2430 France,Albert Camus
B 1801-2430 France,Emmanuel Levinas
B 1801-2430 France,Gilles Deleuze
B 1801-2430 France,Henri Bergson
B 1801-2430 France,Jacques Derrida
B 1801-2430 France,Jacques Ranciere
B 1801-2430 France,Jean-François Lyotard
B 1801-2430 France,Jean-Luc Nancy
B 1801-2430 France,Jean-Paul Sartre
B 1801-2430 France,Julia Kristeva
B 1801-2430 France,Louis Althusser
B 1801-2430 France,Luce Irigaray
B 1801-2430 France,Maurice Merleau-Ponty
B 1801-2430 France,Michel Foucault
B 1801-2430 France,Michel Henry
B 1801-2430 France,Paul Ricoeur
B 1801-2430 France,Simone de Beauvoir
B 2521-3396 Germany & Austria,Aron Gurwitsch
B 2521-3396 Germany & Austria,Edith Stein
B 2521-3396 Germany & Austria,Edmund Husserl
B 2521-3396 Germany & Austria,Hans-George Gadamer
B 2521-3396 Germany & Austria,Jürgen Habermas
B 2521-3396 Germany & Austria,Karl Jaspers
B 2521-3396 Germany & Austria,Martin Heidegger
B 2521-3396 Germany & Austria,Max Horkheimer
B 2521-3396 Germany & Austria,Max Scheler
B 2521-3396 Germany & Austria,Slavoj Zizek
B 2521-3396 Germany & Austria,Theodor Adorno
B 2521-3396 Germany & Austria,Waltar Benjamin
B 3551-3656 Italy,Giorgio Agamben
B 4681-4695 Other European Countries,Roman Ingarden
BF Psychology,Jacques Lacan
GN Anthropology,Claude Levi-Strauss
